subject,session,run,datatype,refsubject
eddy,20191107,[04],[anat fmap func],eddy2019
eddy,20191120,[04 05],[anat fmap func],eddy2019
eddy,20191204,[02 03 04],[anat fmap func],eddy2019
eddy,20191205,[04],[anat fmap func],eddy2019
eddy,20191212,[04],[anat fmap func],eddy2019
eddy,20191219,[01 03],[anat fmap func],eddy2019
eddy,20200204,[01 02 03],[anat fmap func],eddy2019
eddy,20200205,[03 04],[anat fmap func],eddy2019
eddy,20200206,[04],[anat fmap func],eddy2019
eddy,20200212,[01 02 04],[anat fmap func],eddy2019
eddy,20200213,[03],[anat fmap func],eddy2019
eddy,20200218,[01 02 03],[anat fmap func],eddy2019
eddy,20200220,[02],[anat fmap func],eddy2019
